City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,berasia,23.6333,77.4333,13.57,44,96,2.75,IN,1732995335
290,anna regina,7.2644,-58.5077,28.63,69,3,3.89,GY,1732995336
291,tiksi,71.6872,128.8694,-23.63,100,92,1.86,RU,1732995337
292,xilin hot,43.9667,116.0333,-4.63,81,57,6.0,CN,1732995338
293,battambang,13.1027,103.1982,19.77,81,7,1.21,KH,1732995339
294,port mathurin,-19.6833,63.4167,24.45,81,87,9.1,MU,1732995163
295,ridgecrest,35.6225,-117.6709,15.36,24,0,2.06,US,1732995341
296,mettur,11.8,77.8,23.95,86,100,2.04,IN,1732995342
297,saraj,42.0,21.3278,2.75,100,100,0.66,MK,1732995344
298,watampone,-4.5386,120.3279,25.43,90,100,1.06,ID,1732995345
299,praia da vitoria,38.7333,-27.0667,15.14,88,40,5.57,PT,1732995178
300,fort-shevchenko,44.5086,50.263,3.62,76,93,3.63,KZ,1732995347
301,lycksele,64.5954,18.6735,-9.07,92,75,0.0,SE,1732995349
302,westport,41.1415,-73.3579,4.39,47,20,4.12,US,1732995194
303,ilha de mocambique,-15.0342,40.7358,26.44,69,89,9.33,MZ,1732995351
304,yekaterinoslavka,50.3734,129.1139,-26.37,100,7,2.31,RU,1732995352
305,cole harbour,44.6724,-63.4751,2.71,90,100,6.69,CA,1732995353
306,polyarnyy,69.1989,33.4478,-6.99,81,93,9.28,RU,1732995354
307,gobabis,-22.45,18.9667,24.6,10,0,4.47,NA,1732995355
308,zakynthos,37.7914,20.8953,13.72,71,93,3.48,GR,1732995357
309,geraldton,-28.7667,114.6,20.23,77,100,4.12,AU,1732995358
310,fauske,67.2588,15.3918,-1.7,71,100,2.01,NO,1732995359
311,daxi,24.8837,121.2904,17.64,71,21,1.68,TW,1732995360
312,katsuura,35.1333,140.3,10.94,67,1,6.27,JP,1732995361
313,manghit,42.1156,60.0597,6.17,69,100,3.06,UZ,1732995362
314,al burayqah,30.4062,19.5739,19.21,41,5,3.35,LY,1732995363
315,st. john's,47.5649,-52.7093,4.6,95,100,4.12,CA,1732995365
316,nieuw amsterdam,5.8833,-55.0833,27.01,89,40,0.0,SR,1732995366
317,chibougamau,49.9168,-74.3659,-5.21,86,100,4.12,CA,1732995140
318,graaff-reinet,-32.2522,24.5308,16.07,68,50,5.57,ZA,1732995368
319,harstad,68.799,16.5293,-2.14,95,100,2.68,NO,1732995369
320,zhanaozen,43.3,52.8,0.64,91,47,2.6,KZ,1732995370
321,curuzu cuatia,-29.7917,-58.0546,29.69,59,32,4.8,AR,1732995371
322,fresno,36.6666,-119.8343,9.13,87,100,1.54,US,1732995329
323,nogliki,51.8333,143.1667,-3.76,92,100,4.72,RU,1732995373
324,majene,-3.5403,118.9707,25.48,83,100,2.4,ID,1732995374
325,california,38.3004,-76.5074,5.06,43,0,5.66,US,1732995375
326,howard springs,-12.497,131.047,24.95,100,100,1.5,AU,1732995376
327,sydney mines,46.2367,-60.2177,6.36,64,20,4.63,CA,1732995377
328,sosnovo-ozerskoye,52.5249,111.5418,-14.02,83,100,4.62,RU,1732995379
329,carutapera,-1.195,-46.02,29.19,63,33,3.38,BR,1732995182
330,usinsk,65.9939,57.5281,-6.21,95,97,7.98,RU,1732995382
331,arteche,12.2645,125.4048,25.8,90,82,0.39,PH,1732995383
332,beira,-19.8436,34.8389,24.05,69,0,3.09,MZ,1732995384
333,nagqu,31.5,92.0,-7.73,33,81,0.18,CN,1732995385
334,alesund,62.4723,6.1549,11.29,93,75,5.66,NO,1732995387
335,yinchuan,38.4681,106.2731,1.3,36,0,1.23,CN,1732995389
336,hermanus,-34.4187,19.2345,18.22,79,78,3.62,ZA,1732995391
337,nizhniy kuranakh,58.8353,125.4869,-20.89,99,100,1.54,RU,1732995392
338,znojmo,48.8555,16.0488,1.67,88,5,1.22,CZ,1732995393
339,tezu,27.9167,96.1667,15.52,36,0,2.11,IN,1732995394
340,argo,37.6333,22.7333,12.78,78,78,1.58,GR,1732995396
341,lamu,-2.2717,40.902,27.25,82,87,4.71,KE,1732995397
342,pescara,42.3333,13.95,8.31,92,99,1.33,IT,1732995398
343,uray,60.1247,64.7758,-5.62,89,28,4.09,RU,1732995400
344,nova sintra,14.8667,-24.7167,26.63,69,11,4.99,CV,1732995401
345,tateyama,34.9833,139.8667,11.18,67,4,5.49,JP,1732995402
346,puerto baquerizo moreno,-0.9,-89.6,26.55,61,40,6.17,EC,1732995403
347,la junta,37.985,-103.5438,8.16,31,0,2.06,US,1732995404
